procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14181984  67924 1033284    0    0     0     0  133 1425  2  1 97  0  0 2024-05-16 19:32:39
 0  0      0 14181984  67924 1033300    0    0     0     0  147 1466  2  0 98  0  0 2024-05-16 19:32:40
 0  0      0 14181984  67924 1033300    0    0     0   172  129 1422  1  0 99  0  0 2024-05-16 19:32:41
 0  0      0 14181984  67924 1033316    0    0     0     0  167 1516  2  1 97  0  0 2024-05-16 19:32:42
 0  0      0 14181732  67932 1033312    0    0     0    64  136 1419  2  1 97  0  0 2024-05-16 19:32:43
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14181228  67932 1033320    0    0     0     0  146 1440  2  1 97  0  0 2024-05-16 19:32:44
 0  0      0 14180976  67932 1033324    0    0     0     0  136 1381  2  0 98  0  0 2024-05-16 19:32:45
 0  0      0 14180976  67932 1033332    0    0     0    80  126 1376  1  0 98  0  0 2024-05-16 19:32:46
 0  0      0 14180976  67932 1033332    0    0     0     0  130 1411  2  1 98  0  0 2024-05-16 19:32:47
 0  0      0 14180976  67940 1033340    0    0     0    44  130 1378  2  1 97  0  0 2024-05-16 19:32:48
 1  0      0 14180976  67940 1033340    0    0     0     0  120 1348  2  0 98  0  0 2024-05-16 19:32:49
 0  0      0 14180724  67940 1033356    0    0     0     0  146 1421  2  0 98  0  0 2024-05-16 19:32:50
 0  0      0 14180724  67940 1033356    0    0     0     0  132 1438  2  0 98  0  0 2024-05-16 19:32:51
 1  0      0 14180724  67940 1033364    0    0     0   164  158 1471  2  0 97  0  0 2024-05-16 19:32:52
 2  0      0 14180724  67948 1033372    0    0     0    64  145 1408  2  1 97  0  0 2024-05-16 19:32:53
 1  0      0 14180472  67948 1033380    0    0     0     0  146 1446  2  1 97  0  0 2024-05-16 19:32:54
 1  0      0 14180220  67948 1033380    0    0     0     0  107 1374  1  0 99  0  0 2024-05-16 19:32:55
 0  0      0 14180220  67948 1033388    0    0     0     0  152 1468  2  1 97  0  0 2024-05-16 19:32:56
 0  0      0 14180220  67948 1033388    0    0     0    88  136 1414  2  0 98  0  0 2024-05-16 19:32:57
 0  0      0 14180220  67956 1033388    0    0     0    32  141 1442  2  0 98  0  0 2024-05-16 19:32:58
 0  0      0 14179968  67956 1033400    0    0     0     0  141 1382  2  0 98  0  0 2024-05-16 19:32:59
 0  0      0 14179968  67956 1033408    0    0     0     0  146 1479  2  0 98  0  0 2024-05-16 19:33:00
 0  0      0 14179968  67956 1033408    0    0     0     0  124 1426  2  0 98  0  0 2024-05-16 19:33:01
 0  0      0 14179716  67956 1033416    0    0     0   156  174 1494  2  0 98  0  0 2024-05-16 19:33:02
 1  0      0 14179716  67964 1033412    0    0     0    60  129 1378  2  0 98  0  0 2024-05-16 19:33:03
 1  0      0 14199772  67964 1033428    0    0     0     0  194 1538  2  1 98  0  0 2024-05-16 19:33:04
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14199772  67964 1033440    0    0     0     0  132 1383  2  0 98  0  0 2024-05-16 19:33:05
 0  0      0 14199904  67964 1033444    0    0     0     0  131 1422  2  0 98  0  0 2024-05-16 19:33:06
 0  0      0 14199904  67964 1033456    0    0     0    76  128 1460  2  0 98  0  0 2024-05-16 19:33:07
 0  0      0 14199904  67972 1033448    0    0     0    52  150 1462  2  0 98  0  0 2024-05-16 19:33:08
 1  0      0 14199652  67972 1033456    0    0     0     0  145 1462  2  0 98  0  0 2024-05-16 19:33:09
 0  0      0 14199152  67972 1033460    0    0     0     0  162 1531  2  0 98  0  0 2024-05-16 19:33:10
 0  0      0 14199152  67972 1033472    0    0     0     0  143 1443  2  0 98  0  0 2024-05-16 19:33:11
 0  0      0 14198648  67972 1033476    0    0     0   156  177 1539  2  0 98  0  0 2024-05-16 19:33:12
 0  0      0 14198648  67980 1033472    0    0     0    68  138 1405  2  0 98  0  0 2024-05-16 19:33:13
 0  0      0 14198648  67980 1033480    0    0     0     0  137 1418  1  0 98  0  0 2024-05-16 19:33:14
 0  0      0 14198396  67980 1033484    0    0     0     0  133 1391  2  0 98  0  0 2024-05-16 19:33:15
 0  0      0 14198396  67980 1033492    0    0     0     0  140 1392  2  0 98  0  0 2024-05-16 19:33:16
 0  0      0 14198396  67980 1033496    0    0     0    88  116 1387  2  0 98  0  0 2024-05-16 19:33:17
 0  0      0 14198396  67980 1033500    0    0     0     0  131 1400  2  0 98  0  0 2024-05-16 19:33:18
 0  0      0 14200512  67988 1033508    0    0     0    28  205 1412  1  0 99  0  0 2024-05-16 19:33:19
 0  0      0 14200260  67988 1033512    0    0     0     0   78  828  0  0 100  0  0 2024-05-16 19:33:20
 1  0      0 14474472  67988 945116    0    0     0     0  279 1259  4  1 95  0  0 2024-05-16 19:33:21
 0  0      0 14620608  67988 943376    0    0     0     0   87  553  2  0 97  0  0 2024-05-16 19:33:22
 0  0      0 14620636  67988 943380    0    0     0    48   97  543  0  1 99  0  0 2024-05-16 19:33:23
 1  0      0 14618428  68000 943384    0    0     0    68  104  590  0  0 99  0  0 2024-05-16 19:33:24
 0  0      0 14618428  68000 943388    0    0     0     0   69  497  0  0 100  0  0 2024-05-16 19:33:25
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14618248  68000 943392    0    0     0     0   55  464  0  0 100  0  0 2024-05-16 19:33:26
 0  0      0 14618248  68000 943396    0    0     0     0   59  458  0  0 100  0  0 2024-05-16 19:33:27
 0  0      0 14618248  68000 943400    0    0     0    80   63  446  0  0 100  0  0 2024-05-16 19:33:28
 0  0      0 14618248  68008 943408    0    0     0    28  109  746  0  0 100  0  0 2024-05-16 19:33:29
 0  0      0 14618248  68008 943420    0    0     0     0   63  477  0  0 100  0  0 2024-05-16 19:33:30
 0  0      0 14618248  68008 943424    0    0     0     0   64  465  0  0 100  0  0 2024-05-16 19:33:31
 0  0      0 14618248  68008 943424    0    0     0     0   62  480  0  0 100  0  0 2024-05-16 19:33:32
 0  0      0 14618288  68008 943428    0    0     0    52   75  482  0  0 99  0  0 2024-05-16 19:33:33
 0  0      0 14618288  68016 943432    0    0     0    52   64  493  0  0 100  0  0 2024-05-16 19:33:34
 0  0      0 14618288  68016 943440    0    0     0     0   62  506  0  0 100  0  0 2024-05-16 19:33:35
 0  0      0 14618288  68016 943444    0    0     0     0   69  480  0  0 100  0  0 2024-05-16 19:33:36
 0  0      0 14618288  68016 943448    0    0     0     0   58  490  0  0 100  0  0 2024-05-16 19:33:37
 0  0      0 14618288  68016 943452    0    0     0    64   73  495  0  0 100  0  0 2024-05-16 19:33:38
 0  0      0 14618288  68024 943456    0    0     0    32   62  489  0  0 100  0  0 2024-05-16 19:33:39
 0  0      0 14618288  68024 943460    0    0     0     0   58  426  0  0 100  0  0 2024-05-16 19:33:40
 0  0      0 14618288  68024 943464    0    0     0     0   61  432  0  0 100  0  0 2024-05-16 19:33:41
 0  0      0 14618288  68024 943468    0    0     0     0   63  435  0  0 100  0  0 2024-05-16 19:33:42
 0  0      0 14616260  68024 943472    0    0     0     0   63  448  0  0 100  0  0 2024-05-16 19:33:43
 1  0      0 14616260  68032 943476    0    0     0    76   60  425  0  0 100  0  0 2024-05-16 19:33:44
 0  0      0 14616260  68032 943480    0    0     0     0   56  418  0  0 100  0  0 2024-05-16 19:33:45
 0  0      0 14616260  68032 943480    0    0     0     0   53  409  0  0 100  0  0 2024-05-16 19:33:46
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14616008  68032 943488    0    0     0     0   59  439  0  0 100  0  0 2024-05-16 19:33:47
 0  0      0 14616008  68032 943492    0    0     0     0   59  423  0  0 100  0  0 2024-05-16 19:33:48
 0  0      0 14616008  68040 943488    0    0     0    80   68  453  0  0 100  0  0 2024-05-16 19:33:49
 0  0      0 14616008  68040 943500    0    0     0     0   71  467  0  0 100  0  0 2024-05-16 19:33:50
 0  0      0 14615508  68040 943504    0    0     0     0   60  483  0  0 100  0  0 2024-05-16 19:33:51
 0  0      0 14615004  68040 943508    0    0     0     0   60  467  0  0 100  0  0 2024-05-16 19:33:52
 0  0      0 14617072  68040 943512    0    0     0     0   67  537  0  0 100  0  0 2024-05-16 19:33:53
 0  0      0 14614976  68048 943520    0    0     0    80  122  689  0  0 99  0  0 2024-05-16 19:33:54
 0  0      0 14614976  68048 943524    0    0     0     0   63  525  0  0 100  0  0 2024-05-16 19:33:55
 0  0      0 14614976  68048 943524    0    0     0     0   86  528  0  0 99  0  0 2024-05-16 19:33:56
 0  0      0 14614976  68048 943528    0    0     0     0   60  444  0  0 100  0  0 2024-05-16 19:33:57
 0  0      0 14614472  68048 943536    0    0     0     0   61  465  0  0 100  0  0 2024-05-16 19:33:58
 0  0      0 14614472  68056 943540    0    0     0   104   81  580  0  0 100  0  0 2024-05-16 19:33:59
 0  0      0 14614472  68056 943544    0    0     0     0   66  473  0  0 100  0  0 2024-05-16 19:34:00
 0  0      0 14613720  68056 943548    0    0     0     0   58  510  0  0 100  0  0 2024-05-16 19:34:01
 0  0      0 14613720  68056 943552    0    0     0     0   67  498  0  0 100  0  0 2024-05-16 19:34:02
 0  0      0 14611692  68056 943560    0    0     0     0   53  461  0  0 100  0  0 2024-05-16 19:34:03
 0  0      0 14611692  68064 943556    0    0     0    80   69  475  0  0 100  0  0 2024-05-16 19:34:04
 0  0      0 14611692  68064 943572    0    0     0     0   64  536  0  0 100  0  0 2024-05-16 19:34:05
 0  0      0 14611692  68064 943572    0    0     0     0   62  454  0  0 100  0  0 2024-05-16 19:34:06
 0  0      0 14611692  68064 943580    0    0     0     0   64  467  0  0 100  0  0 2024-05-16 19:34:07
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14611692  68064 943584    0    0     0     0   64  502  0  0 100  0  0 2024-05-16 19:34:08
 0  0      0 14612216  68072 943580    0    0     0    36   62  438  0  0 100  0  0 2024-05-16 19:34:09
 0  0      0 14612448  68072 943592    0    0     0    56   68  468  0  0 100  0  0 2024-05-16 19:34:10
 0  0      0 14612448  68072 943596    0    0     0     0   61  465  0  0 100  0  0 2024-05-16 19:34:11
 0  0      0 14612196  68072 943600    0    0     0     0   66  470  0  0 100  0  0 2024-05-16 19:34:12
 0  0      0 14612196  68072 943604    0    0     0     0   58  484  0  0 100  0  0 2024-05-16 19:34:13
 0  0      0 14614264  68072 943608    0    0     0     0   77  517  0  0 100  0  0 2024-05-16 19:34:14
 0  0      0 14614264  68080 943604    0    0     0    84   62  452  0  0 100  0  0 2024-05-16 19:34:15
 0  0      0 14614264  68080 943616    0    0     0     0   63  457  0  0 100  0  0 2024-05-16 19:34:16
 0  0      0 14614264  68080 943620    0    0     0     0   58  475  0  0 100  0  0 2024-05-16 19:34:17
 0  0      0 14614264  68080 943620    0    0     0     0   54  442  0  0 100  0  0 2024-05-16 19:34:18
 0  0      0 14614264  68080 943628    0    0     0     0   61  425  0  0 100  0  0 2024-05-16 19:34:19
 0  0      0 14614264  68088 943624    0    0     0    84   89  607  0  0 100  0  0 2024-05-16 19:34:20
 0  0      0 14614264  68088 943640    0    0     0     0   62  437  0  0 100  0  0 2024-05-16 19:34:21
 0  0      0 14614264  68088 943644    0    0     0     0   54  476  0  0 100  0  0 2024-05-16 19:34:22
 0  0      0 14614264  68088 943644    0    0     0     0   56  431  0  0 99  0  0 2024-05-16 19:34:23
 0  0      0 14614940  68088 943648    0    0     0     0   76  489  0  0 100  0  0 2024-05-16 19:34:24
 0  0      0 14614688  68096 943656    0    0     0   104   67  491  0  0 100  0  0 2024-05-16 19:34:25
 0  0      0 14614948  68096 943660    0    0     0     0   61  440  0  0 100  0  0 2024-05-16 19:34:26
 0  0      0 14614944  68096 943664    0    0     0     0   57  435  0  0 100  0  0 2024-05-16 19:34:27
 0  0      0 14614944  68096 943668    0    0     0     0   56  428  0  0 100  0  0 2024-05-16 19:34:28
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14614944  68096 943672    0    0     0     0   57  449  0  0 100  0  0 2024-05-16 19:34:29
