procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30479604  64172 1076628    0    0     0     0  178 1527  1  0 99  0  0 2024-05-16 19:32:38
 0  0      0 30481656  64172 1076628    0    0     0     0  154 1500  1  0 99  0  0 2024-05-16 19:32:39
 0  0      0 30481656  64172 1076628    0    0     0   176  170 1533  1  0 99  0  0 2024-05-16 19:32:40
 0  0      0 30481656  64172 1076628    0    0     0     0  134 1501  1  0 99  0  0 2024-05-16 19:32:41
 0  0      0 30480648  64180 1076632    0    0     0    52  178 1568  1  0 99  0  0 2024-05-16 19:32:42
 0  0      0 30480648  64180 1076632    0    0     0     0  135 1450  1  0 99  0  0 2024-05-16 19:32:43
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30480648  64180 1076636    0    0     0     0  144 1429  1  0 99  0  0 2024-05-16 19:32:44
 0  0      0 30480648  64180 1076640    0    0     0    44  183 1665  1  0 99  0  0 2024-05-16 19:32:45
 0  0      0 30480648  64180 1076644    0    0     0     0  174 1556  0  0 99  0  0 2024-05-16 19:32:46
 0  0      0 30480648  64188 1076644    0    0     0    52  154 1497  1  0 99  0  0 2024-05-16 19:32:47
 0  0      0 30480648  64188 1076648    0    0     0     0  156 1519  1  0 99  0  0 2024-05-16 19:32:48
 0  0      0 30479628  64188 1076648    0    0     0     0  188 1486  1  0 99  0  0 2024-05-16 19:32:49
 1  0      0 30479628  64188 1076648    0    0     0   164  150 1496  0  0 100  0  0 2024-05-16 19:32:50
 0  0      0 30482636  64188 1076648    0    0     0     0  162 1521  1  0 99  0  0 2024-05-16 19:32:51
 0  0      0 30482428  64196 1076652    0    0     0    44  185 1591  1  0 99  0  0 2024-05-16 19:32:52
 0  0      0 30482428  64196 1076652    0    0     0     0  138 1447  0  0 99  0  0 2024-05-16 19:32:53
 0  0      0 30482176  64196 1076656    0    0     0     0  150 1472  1  0 99  0  0 2024-05-16 19:32:54
 0  0      0 30481672  64196 1076664    0    0     0    40  150 1490  1  0 99  0  0 2024-05-16 19:32:55
 0  0      0 30481168  64196 1076664    0    0     0     0  136 1441  1  0 99  0  0 2024-05-16 19:32:56
 0  0      0 30481168  64204 1076668    0    0     0    52  133 1445  1  0 99  0  0 2024-05-16 19:32:57
 0  0      0 30481168  64204 1076668    0    0     0     0  160 1466  1  0 99  0  0 2024-05-16 19:32:58
 0  0      0 30482968  64204 1076672    0    0     0     0  146 1493  1  0 99  0  0 2024-05-16 19:32:59
 0  0      0 30482216  64204 1076668    0    0     0     0  179 1583  1  0 99  0  0 2024-05-16 19:33:00
 0  0      0 30482216  64204 1076672    0    0     0   164  151 1495  1  0 99  0  0 2024-05-16 19:33:01
 0  0      0 30528084  64212 1076672    0    0     0    44  223 1720  1  0 99  0  0 2024-05-16 19:33:02
 0  0      0 30528268  64212 1076676    0    0     0     0  143 1444  1  0 99  0  0 2024-05-16 19:33:03
 0  0      0 30528268  64212 1076676    0    0     0     0  146 1454  1  0 99  0  0 2024-05-16 19:33:04
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30528268  64212 1076680    0    0     0     0  163 1525  1  0 99  0  0 2024-05-16 19:33:05
 0  0      0 30528268  64212 1076680    0    0     0   164  181 1653  1  0 99  0  0 2024-05-16 19:33:06
 0  0      0 30528044  64220 1076696    0    0     0    56  174 1578  0  0 99  0  0 2024-05-16 19:33:07
 0  0      0 30528044  64220 1076696    0    0     0     0  165 1466  1  0 99  0  0 2024-05-16 19:33:08
 0  0      0 30527792  64220 1076700    0    0     0     0  142 1482  1  0 99  0  0 2024-05-16 19:33:09
 0  0      0 30525904  64220 1076696    0    0     0     0  131 1460  1  0 99  0  0 2024-05-16 19:33:10
 0  0      0 30525152  64220 1076700    0    0     0    40  137 1490  1  0 99  0  0 2024-05-16 19:33:11
 0  0      0 30525152  64228 1076700    0    0     0    48  174 1594  1  0 99  0  0 2024-05-16 19:33:12
 0  0      0 30525152  64228 1076704    0    0     0     0  163 1508  1  0 99  0  0 2024-05-16 19:33:13
 0  0      0 30525152  64228 1076704    0    0     0     0  135 1432  1  0 99  0  0 2024-05-16 19:33:14
 0  0      0 30525152  64228 1076708    0    0     0     0  137 1463  1  0 99  0  0 2024-05-16 19:33:15
 1  0      0 30525152  64228 1076712    0    0     0     0  156 1487  1  0 99  0  0 2024-05-16 19:33:16
 0  0      0 30527568  64240 1076712    0    0     0   256  287 1705  0  0 99  0  0 2024-05-16 19:33:17
 0  0      0 30527568  64240 1076716    0    0     0     0   75  857  0  0 100  0  0 2024-05-16 19:33:18
 0  0      0 30528576  64240 1076716    0    0     0     0  209 1094  2  0 98  0  0 2024-05-16 19:33:19
 0  0      0 30981572  64240 988368    0    0     0     0  312 1096  1  0 98  0  0 2024-05-16 19:33:20
 0  0      0 30981572  64240 988368    0    0     0     0   76  500  0  0 100  0  0 2024-05-16 19:33:21
 0  0      0 30981572  64248 988372    0    0     0    32   99  633  0  0 100  0  0 2024-05-16 19:33:22
 1  0      0 30981572  64248 988372    0    0     0     0   63  425  0  0 100  0  0 2024-05-16 19:33:23
 0  0      0 30981572  64248 988372    0    0     0     0  115  545  0  0 100  0  0 2024-05-16 19:33:24
 0  0      0 30981572  64248 988372    0    0     0     0   68  510  0  0 100  0  0 2024-05-16 19:33:25
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30981572  64248 988372    0    0     0     0   69  446  0  0 100  0  0 2024-05-16 19:33:26
 0  0      0 30981572  64256 988368    0    0     0    28   90  549  0  0 100  0  0 2024-05-16 19:33:27
 0  0      0 30981320  64256 988388    0    0     0     0   78  470  0  0 100  0  0 2024-05-16 19:33:28
 0  0      0 30981320  64256 988384    0    0     0     0   86  521  0  0 100  0  0 2024-05-16 19:33:29
 0  0      0 30979276  64256 988388    0    0     0     0  137  667  0  0 100  0  0 2024-05-16 19:33:30
 0  0      0 30979528  64256 988392    0    0     0     0   94  600  0  0 100  0  0 2024-05-16 19:33:31
 0  0      0 30979528  64256 988392    0    0     0     0   76  548  0  0 100  0  0 2024-05-16 19:33:32
 0  0      0 30981100  64264 988396    0    0     0    48   80  496  0  0 100  0  0 2024-05-16 19:33:33
 0  0      0 30981100  64264 988392    0    0     0     0   78  549  0  0 100  0  0 2024-05-16 19:33:34
 0  0      0 30981100  64264 988392    0    0     0     0   73  473  0  0 100  0  0 2024-05-16 19:33:35
 0  0      0 30981100  64264 988392    0    0     0     0   68  522  0  0 100  0  0 2024-05-16 19:33:36
 0  0      0 30981352  64264 988392    0    0     0     0   70  510  0  0 100  0  0 2024-05-16 19:33:37
 0  0      0 30981100  64272 988392    0    0     0    32   73  460  0  0 100  0  0 2024-05-16 19:33:38
 0  0      0 30981100  64272 988396    0    0     0     0   68  430  0  0 100  0  0 2024-05-16 19:33:39
 0  0      0 30979072  64272 988396    0    0     0     0   84  477  0  0 100  0  0 2024-05-16 19:33:40
 0  0      0 30979072  64272 988396    0    0     0     0   73  468  0  0 100  0  0 2024-05-16 19:33:41
 0  0      0 30979072  64272 988396    0    0     0     0   74  550  0  0 100  0  0 2024-05-16 19:33:42
 0  0      0 30979072  64280 988396    0    0     0    20   78  533  0  0 100  0  0 2024-05-16 19:33:43
 0  0      0 30979072  64280 988396    0    0     0     0   66  414  0  0 100  0  0 2024-05-16 19:33:44
 0  0      0 30979324  64280 988396    0    0     0     0   68  430  0  0 100  0  0 2024-05-16 19:33:45
 0  0      0 30979324  64280 988396    0    0     0     0   75  478  0  0 100  0  0 2024-05-16 19:33:46
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30979324  64280 988396    0    0     0    16   73  480  0  0 100  0  0 2024-05-16 19:33:47
 0  0      0 30979072  64280 988400    0    0     0     0   84  542  0  0 100  0  0 2024-05-16 19:33:48
 0  0      0 30979072  64288 988400    0    0     0    32   72  531  0  0 100  0  0 2024-05-16 19:33:49
 0  0      0 30981140  64288 988400    0    0     0     0   60  471  0  0 100  0  0 2024-05-16 19:33:50
 0  0      0 30982404  64288 988400    0    0     0     0   77  525  0  0 100  0  0 2024-05-16 19:33:51
 0  0      0 30982404  64288 988400    0    0     0   104   71  543  0  0 100  0  0 2024-05-16 19:33:52
 0  0      0 30982180  64288 988400    0    0     0     0   84  494  0  0 100  0  0 2024-05-16 19:33:53
 0  0      0 30982180  64300 988388    0    0     0    52   92  579  0  0 100  0  0 2024-05-16 19:33:54
 0  0      0 30982180  64300 988388    0    0     0     0   69  498  0  0 100  0  0 2024-05-16 19:33:55
 0  0      0 30982180  64300 988388    0    0     0     0   73  450  0  0 100  0  0 2024-05-16 19:33:56
 0  0      0 30982180  64300 988392    0    0     0     0  107  668  0  0 100  0  0 2024-05-16 19:33:57
 0  0      0 30981928  64300 988404    0    0     0     0   72  426  0  0 100  0  0 2024-05-16 19:33:58
 0  0      0 30981928  64308 988400    0    0     0    24   85  617  0  0 100  0  0 2024-05-16 19:33:59
 0  0      0 30982180  64308 988400    0    0     0     0   81  523  0  0 100  0  0 2024-05-16 19:34:00
 0  0      0 30980152  64308 988400    0    0     0     0   81  534  0  0 100  0  0 2024-05-16 19:34:01
 0  0      0 30979900  64308 988400    0    0     0     0   65  502  0  0 100  0  0 2024-05-16 19:34:02
 0  0      0 30979900  64308 988400    0    0     0     0   56  419  0  0 100  0  0 2024-05-16 19:34:03
 0  0      0 30979900  64316 988392    0    0     0    32   74  443  0  0 100  0  0 2024-05-16 19:34:04
 0  0      0 30979900  64316 988400    0    0     0     0   71  433  0  0 100  0  0 2024-05-16 19:34:05
 0  0      0 30979900  64316 988400    0    0     0     0   78  574  0  0 100  0  0 2024-05-16 19:34:06
 0  0      0 30980152  64316 988400    0    0     0     0   74  508  0  0 100  0  0 2024-05-16 19:34:07
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30979900  64316 988400    0    0     0     0   70  496  0  0 100  0  0 2024-05-16 19:34:08
 0  0      0 30979900  64316 988400    0    0     0     0   75  456  0  0 100  0  0 2024-05-16 19:34:09
 0  0      0 30980152  64324 988392    0    0     0    20   72  501  0  0 100  0  0 2024-05-16 19:34:10
 0  0      0 30982220  64324 988400    0    0     0     0   74  528  0  0 100  0  0 2024-05-16 19:34:11
 0  0      0 30982220  64324 988400    0    0     0     0   78  500  0  0 100  0  0 2024-05-16 19:34:12
 0  0      0 30981968  64324 988400    0    0     0     0   69  480  0  0 100  0  0 2024-05-16 19:34:13
 0  0      0 30981968  64324 988400    0    0     0     0   68  454  0  0 100  0  0 2024-05-16 19:34:14
 0  0      0 30981968  64332 988400    0    0     0    20   81  534  0  0 100  0  0 2024-05-16 19:34:15
 0  0      0 30981968  64332 988400    0    0     0     0   52  461  0  0 100  0  0 2024-05-16 19:34:16
 0  0      0 30981968  64332 988400    0    0     0     0   73  482  0  0 100  0  0 2024-05-16 19:34:17
 0  0      0 30981968  64332 988400    0    0     0     0   66  484  0  0 100  0  0 2024-05-16 19:34:18
 0  0      0 30981716  64332 988400    0    0     0     0   69  445  0  0 100  0  0 2024-05-16 19:34:19
 0  0      0 30981968  64340 988404    0    0     0    20   72  438  0  0 100  0  0 2024-05-16 19:34:20
 0  0      0 30977872  64340 988404    0    0     0     0   97  554  0  0 100  0  0 2024-05-16 19:34:21
 0  0      0 30977872  64340 988404    0    0     0     8   75  518  0  0 100  0  0 2024-05-16 19:34:22
 0  0      0 30977712  64340 988404    0    0     0     0   83  492  0  0 100  0  0 2024-05-16 19:34:23
 0  0      0 30977460  64340 988404    0    0     0     0   70  454  0  0 100  0  0 2024-05-16 19:34:24
 0  0      0 30977460  64340 988404    0    0     0     0   67  471  0  0 100  0  0 2024-05-16 19:34:25
 0  0      0 30979528  64348 988404    0    0     0    32   76  484  0  0 100  0  0 2024-05-16 19:34:26
 0  0      0 30979784  64348 988404    0    0     0    40   69  481  0  0 100  0  0 2024-05-16 19:34:27
 0  0      0 30979784  64348 988404    0    0     0     0   68  437  0  0 100  0  0 2024-05-16 19:34:28
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 1  0      0 30979784  64348 988404    0    0     0     0   57  422  0  0 100  0  0 2024-05-16 19:34:29
 0  0      0 30979784  64348 988404    0    0     0     0   68  481  0  0 100  0  0 2024-05-16 19:34:30
 0  0      0 30977500  64356 988404    0    0     0    32   92  516  0  0 100  0  0 2024-05-16 19:34:31
 0  0      0 30977500  64356 988404    0    0     0    24   72  497  0  0 100  0  0 2024-05-16 19:34:32
 0  0      0 30977500  64356 988404    0    0     0     0   75  487  0  0 100  0  0 2024-05-16 19:34:33
 0  0      0 30977500  64356 988404    0    0     0     0   70  456  0  0 100  0  0 2024-05-16 19:34:34
 0  0      0 30977500  64356 988404    0    0     0     0   74  452  0  0 100  0  0 2024-05-16 19:34:35
 0  0      0 30979564  64364 988404    0    0     0    20   78  469  0  0 100  0  0 2024-05-16 19:34:36
 0  0      0 30979564  64364 988404    0    0     0     0   71  514  0  0 100  0  0 2024-05-16 19:34:37
 0  0      0 30979564  64364 988404    0    0     0    12   71  461  0  0 100  0  0 2024-05-16 19:34:38
 0  0      0 30979564  64364 988404    0    0     0     0   69  472  0  0 100  0  0 2024-05-16 19:34:39
 0  0      0 30979564  64364 988404    0    0     0     0   71  490  0  0 100  0  0 2024-05-16 19:34:40
 0  0      0 30979564  64364 988404    0    0     0     0   64  450  0  0 100  0  0 2024-05-16 19:34:41
 2  0      0 30979344  64372 988404    0    0     0    20   76  473  0  0 100  0  0 2024-05-16 19:34:42
 0  0      0 30979596  64372 988404    0    0     0    12   59  470  0  0 100  0  0 2024-05-16 19:34:43
 0  0      0 30979596  64372 988404    0    0     0     0   69  434  0  0 100  0  0 2024-05-16 19:34:44
 0  0      0 30979596  64372 988404    0    0     0     0   72  448  0  0 100  0  0 2024-05-16 19:34:45
 0  0      0 30979596  64372 988404    0    0     0     0   71  460  0  0 100  0  0 2024-05-16 19:34:46
 0  0      0 30979344  64380 988404    0    0     0    20   80  507  0  0 100  0  0 2024-05-16 19:34:47
 0  0      0 30979344  64380 988404    0    0     0    12   76  456  0  0 100  0  0 2024-05-16 19:34:48
 0  0      0 30979344  64380 988404    0    0     0     0   67  497  0  0 100  0  0 2024-05-16 19:34:49
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30979344  64380 988404    0    0     0     0   67  436  0  0 100  0  0 2024-05-16 19:34:50
 0  0      0 30978828  64380 988404    0    0     0     0   73  434  0  0 100  0  0 2024-05-16 19:34:51
 0  0      0 30978724  64388 988404    0    0     0    20   85  463  0  0 100  0  0 2024-05-16 19:34:52
 0  0      0 30978724  64388 988404    0    0     0    12   69  484  0  0 100  0  0 2024-05-16 19:34:53
 0  0      0 30978724  64388 988404    0    0     0     0   72  463  0  0 100  0  0 2024-05-16 19:34:54
 0  0      0 30978724  64388 988404    0    0     0     0   66  435  0  0 100  0  0 2024-05-16 19:34:55
 0  0      0 30978472  64388 988404    0    0     0     0   52  470  0  0 100  0  0 2024-05-16 19:34:56
 0  0      0 30978472  64388 988404    0    0     0     0   68  474  0  0 100  0  0 2024-05-16 19:34:57
 0  0      0 30978724  64396 988412    0    0     0    20   79  493  0  0 100  0  0 2024-05-16 19:34:58
 0  0      0 30978976  64396 988412    0    0     0    16   73  453  0  0 100  0  0 2024-05-16 19:34:59
 0  0      0 30978976  64396 988412    0    0     0     0   71  496  0  0 100  0  0 2024-05-16 19:35:00
 0  0      0 30978976  64396 988412    0    0     0     0   69  460  0  0 100  0  0 2024-05-16 19:35:01
 0  0      0 30976692  64396 988412    0    0     0     0  116  576  0  0 100  0  0 2024-05-16 19:35:02
 0  0      0 30976692  64404 988404    0    0     0    56   75  487  0  0 100  0  0 2024-05-16 19:35:03
 0  0      0 30976692  64404 988412    0    0     0   228   70  426  0  0 100  0  0 2024-05-16 19:35:04
 0  0      0 30976944  64404 988412    0    0     0     0   69  416  0  0 100  0  0 2024-05-16 19:35:05
 0  0      0 30976944  64404 988412    0    0     0     0   65  413  0  0 100  0  0 2024-05-16 19:35:06
 0  0      0 30976944  64404 988412    0    0     0     0   68  423  0  0 100  0  0 2024-05-16 19:35:07
 0  0      0 30978756  64412 988412    0    0     0    28   79  476  0  0 100  0  0 2024-05-16 19:35:08
 0  0      0 30978756  64412 988412    0    0     0     0   57  446  0  0 100  0  0 2024-05-16 19:35:09
 0  0      0 30978756  64412 988412    0    0     0     0   72  442  0  0 100  0  0 2024-05-16 19:35:10
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30978756  64412 988412    0    0     0     0   71  456  0  0 100  0  0 2024-05-16 19:35:11
 0  0      0 30976724  64412 988412    0    0     0     0   77  468  0  0 100  0  0 2024-05-16 19:35:12
 0  0      0 30978788  64412 988412    0    0     0     0   69  466  0  0 100  0  0 2024-05-16 19:35:13
 0  0      0 30978788  64420 988412    0    0     0    20   79  508  0  0 100  0  0 2024-05-16 19:35:14
 0  0      0 30978788  64420 988412    0    0     0     0   67  482  0  0 100  0  0 2024-05-16 19:35:15
 0  0      0 30978788  64420 988412    0    0     0     0   68  411  0  0 100  0  0 2024-05-16 19:35:16
 0  0      0 30978536  64420 988412    0    0     0     0   66  412  0  0 100  0  0 2024-05-16 19:35:17
 0  0      0 30978536  64420 988412    0    0     0     0   69  419  0  0 100  0  0 2024-05-16 19:35:18
 0  0      0 30978536  64428 988412    0    0     0    20   73  439  0  0 100  0  0 2024-05-16 19:35:19
 0  0      0 30978536  64428 988412    0    0     0     0   76  434  0  0 100  0  0 2024-05-16 19:35:20
 0  0      0 30978484  64428 988412    0    0     0     0  105  504  0  0 100  0  0 2024-05-16 19:35:21
 0  0      0 30978484  64428 988412    0    0     0     0   76  500  0  0 100  0  0 2024-05-16 19:35:22
