"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","learning_rate","method","model_type","normalization","normalization_method","parameters.activation_functions","parameters.batch_sizes","parameters.dropouts","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.learning_rates","parameters.normalization_methods","hidden_dim3","hidden_layers","optimizer","output_activation_function","parameters.hidden_dim3s","parameters.hidden_layerss","parameters.optimizers","parameters.output_activation_functions","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_strategy","momentum","nesterov","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","actual_hidden_layers","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_scale_factor_fixed","hidden_layers_max","hidden_layers_min","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.randomize_hidden_dim_strategys","parameters.scaled_layerss","randomize_hidden_dim_strategy","scaled_layers","epoch","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss","model_architecture","hidden_layer_1_neurons","hidden_layer_2_neurons","hidden_layer_3_neurons","hidden_layer_4_neurons","hidden_layer_5_neurons"
"stoic-sweep-1","finished","-","","","2024-07-27T18:52:34.000Z","43","oh52kkcs","hardelish","29","0.4585371406192809","500","","","0.061427740935545115","","","","std","","","","","","","","","","","asgd","none","","","","","","","","compress","0.35127651364124457","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","3","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","42","-0.18797046978851228","1.4112738370895386","-5.1710420843236955","38.08176040649414","-0.18797077082951663","1.411274552345276","Input Layer: 10 neurons
Hidden Layer 1: 206 neurons
Hidden Layer 2: 161 neurons
Hidden Layer 3: 232 neurons
Output Layer: 1 neuron","206","161","232","",""
"soft-sweep-10","finished","-","","","2024-07-27T18:42:32.000Z","81","nnxs723m","relu","58","0.30892165038217784","500","","","0.016900631566156045","","","","none","","","","","","","","","","","sgd","none","","","","","","","","maintain","0.10641978454242636","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","false","","92","0.9884798719422316","0.00013271335046738386","0.895351130759463","0.010951385833323002","0.9883961693325009","0.0001346488861599937","Input Layer: 10 neurons
Hidden Layer 1: 144 neurons
Hidden Layer 2: 144 neurons
Output Layer: 1 neuron","144","144","","",""
"hearty-sweep-9","finished","-","","","2024-07-27T18:41:41.000Z","46","nnxs723m","mish","3","0.6838377675285428","500","","","0.0028497891392486804","","","","none","","","","","","","","","","","adam","none","","","","","","","","maintain","0.4688326869680939","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","4","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","false","","39","0.7763152953138953","0.05003484711050987","0.8420551725007173","0.02494656853377819","0.7763121976537368","0.0500362329185009","Input Layer: 10 neurons
Hidden Layer 1: 108 neurons
Hidden Layer 2: 108 neurons
Hidden Layer 3: 108 neurons
Hidden Layer 4: 108 neurons
Output Layer: 1 neuron","108","108","108","108",""
"rose-sweep-8","finished","-","","","2024-07-27T18:41:00.000Z","35","nnxs723m","dsu","70","0.6050731247084191","500","","","0.07047605717198709","","","","min-max","","","","","","","","","","","adamax","none","","","","","","","","maintain","0.7825510476309937","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","true","5","2","","","","","","","","","","","","","","","","","","","","","false","","35","0.612021388787219","0.15052740275859833","0.9142323541528355","0.007356089074164629","0.6125205614561391","0.15014031529426575","Input Layer: 10 neurons
Hidden Layer 1: 139 neurons
Hidden Layer 2: 139 neurons
Output Layer: 1 neuron","139","139","","",""
"quiet-sweep-7","finished","-","","","2024-07-27T18:39:59.000Z","60","nnxs723m","elish","42","0.6544054025445762","500","","","0.021963863334907786","","","","min-max","","","","","","","","","","","sgd","none","","","","","","","","maintain","0.7175550818158242","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","4","","256","8","","2","1.01","true","5","2","","","","","","","","","","","","","","","","","","","","","true","","60","0.9998970418180296","1.0600387234660502e-8","0.9888891089270206","0.0001234519004356116","0.999896876875964","1.0634378710960846e-8","Input Layer: 10 neurons
Hidden Layer 1: 58 neurons
Hidden Layer 2: 58 neurons
Hidden Layer 3: 99 neurons
Hidden Layer 4: 57 neurons
Output Layer: 1 neuron","58","58","99","57",""
"elated-sweep-6","finished","-","","","2024-07-27T18:39:18.000Z","35","nnxs723m","dsu","98","0.35051097699201433","500","","","0.09478830888948904","","","","none","","","","","","","","","","","rmsprop","none","","","","","","","","expand","0.37760617715424816","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","4","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","false","","35","0.6640234903318538","0.11288021504878998","0.632920889923829","0.13474707305431366","0.6520849612458752","0.12104487419128418","Input Layer: 10 neurons
Hidden Layer 1: 157 neurons
Hidden Layer 2: 158 neurons
Hidden Layer 3: 181 neurons
Hidden Layer 4: 207 neurons
Output Layer: 1 neuron","157","158","181","207",""
"spring-sweep-5","finished","-","","","2024-07-27T18:32:28.000Z","408","nnxs723m","leaky_relu","63","0.6587331588418844","500","","","0.030758620343490493","","","","std","","","","","","","","","","","adadelta","none","","","","","","","","maintain","0.5635752627537451","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","4","","256","8","","2","1.01","true","5","2","","","","","","","","","","","","","","","","","","","","","true","","500","0.6916864677506798","0.09505723416805267","0.5431930407662979","0.20867259800434113","0.6916808009702402","0.09506072849035264","Input Layer: 10 neurons
Hidden Layer 1: 11 neurons
Hidden Layer 2: 11 neurons
Hidden Layer 3: 11 neurons
Hidden Layer 4: 13 neurons
Output Layer: 1 neuron","11","11","11","13",""
"vocal-sweep-4","finished","-","","","2024-07-27T18:32:02.000Z","23","nnxs723m","softplus","38","0.4681601823393487","500","","","0.08348572284935384","","","","instance","","","","","","","","","","","rmsprop","none","","","","","","","","maintain","0.8894158263498813","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","5","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","22","0.3428360627353845","0.4318644404411316","0.4194243281841531","0.337068110704422","0.3428360627353845","0.4318644404411316","Input Layer: 10 neurons
Hidden Layer 1: 163 neurons
Hidden Layer 2: 163 neurons
Hidden Layer 3: 163 neurons
Hidden Layer 4: 117 neurons
Hidden Layer 5: 72 neurons
Output Layer: 1 neuron","163","163","163","117","72"
"rose-sweep-3","finished","-","","","2024-07-27T18:31:26.000Z","30","nnxs723m","ncu","100","0.6121937153713971","500","","","0.040621651923474125","","","","std","","","","","","","","","","","asgd","none","","","","","","","","maintain","0.013568245696523684","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","3","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","28","0.7820378082332262","0.04750751703977585","0.91600637431414","0.007054929155856371","0.7820293481287646","0.047511205077171326","Input Layer: 10 neurons
Hidden Layer 1: 234 neurons
Hidden Layer 2: 234 neurons
Hidden Layer 3: 234 neurons
Output Layer: 1 neuron","234","234","234","",""
"bright-sweep-2","finished","-","","","2024-07-27T18:30:50.000Z","31","nnxs723m","gcu","22","0.4056867912785995","500","","","0.09313045755208071","","","","layer","","","","","","","","","","","adadelta","none","","","","","","","","maintain","0.1081535882852644","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","4","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","30","0.7376309119550297","0.06883753836154938","0.8863547107154193","0.012915251776576042","0.7375757985333162","0.06886646151542664","Input Layer: 10 neurons
Hidden Layer 1: 141 neurons
Hidden Layer 2: 141 neurons
Hidden Layer 3: 276 neurons
Hidden Layer 4: 433 neurons
Output Layer: 1 neuron","141","141","276","433",""
