  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:39:50      0.00      0.00
19:39:51      0.00      0.00
19:39:52      0.00      0.00
19:39:53      0.00      0.00
19:39:54      0.00      0.00
19:39:55      0.00      0.00
19:39:56      0.00      0.00
19:39:57      0.00      0.00
19:39:58      0.00      0.00
19:39:59      0.00      0.00
19:40:00      0.00      0.00
19:40:01      0.00      0.00
19:40:02      0.00      0.00
19:40:03      0.11      0.05
19:40:04      0.00      0.00
19:40:05      0.00      0.00
19:40:06      0.00      0.00
19:40:07      0.04      0.04
19:40:08      0.00      0.00
19:40:09      0.00      0.00
19:40:10      0.00      0.00
19:40:11      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:40:12      0.00      0.00
19:40:13      0.00      0.00
19:40:14      0.00      0.00
19:40:15      0.05      0.05
19:40:16      0.00      0.00
19:40:17      0.00      0.00
19:40:18      0.00      0.00
19:40:19      0.05      0.05
19:40:20      0.04      0.04
19:40:21      0.21      0.00
19:40:22      0.21      0.00
19:40:23      0.21      0.00
19:40:24      0.93      0.00
19:40:25      0.56      0.00
19:40:26      0.09      0.00
19:40:27      0.00      0.00
19:40:28      0.00      0.00
19:40:29      0.00      0.00
19:40:30      0.00      0.00
19:40:31      0.00      0.00
19:40:32      0.00      0.00
19:40:33      0.05      0.05
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:40:34      0.00      0.00
19:40:35      0.00      0.00
19:40:36      0.00      0.00
19:40:37      0.00      0.00
19:40:38      0.04      0.04
19:40:39      0.00      0.00
19:40:40      0.00      0.00
19:40:41      0.00      0.00
19:40:42      0.00      0.00
19:40:43      0.00      0.00
19:40:44      0.00      0.00
19:40:45      0.05      0.05
19:40:46      0.00      0.00
19:40:47      0.00      0.00
19:40:48      0.00      0.00
19:40:49      0.05      0.05
19:40:50      0.04      0.04
19:40:51      0.00      0.00
19:40:52      0.00      0.00
19:40:53      0.08      0.05
19:40:54      0.00      0.00
19:40:55      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:40:56      0.00      0.00
19:40:57      0.20      0.50
19:40:58      0.00      0.00
19:40:59      0.00      0.00
19:41:00      0.11      0.05
19:41:01      0.20      0.47
19:41:02      0.04      0.04
19:41:03      0.00      0.00
19:41:04      0.00      0.00
19:41:05      0.00      0.00
19:41:06      0.00      0.00
19:41:07      0.00      0.00
19:41:08      0.00      0.00
19:41:09      0.00      0.00
19:41:10      0.00      0.00
19:41:11      0.00      0.00
19:41:12      0.00      0.00
19:41:13      0.00      0.00
19:41:14      0.00      0.00
19:41:15      0.00      0.00
19:41:16      3.77      4.65
19:41:17      0.98      0.70
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:41:18      0.00      0.00
19:41:19      0.00      0.00
19:41:20      0.00      0.00
19:41:21      0.00      0.00
19:41:22      0.00      0.00
19:41:23      0.05      0.05
19:41:24      0.00      0.00
19:41:25      0.00      0.00
19:41:26      0.00      0.00
19:41:27      0.00      0.00
19:41:28      0.04      0.04
19:41:29      0.00      0.00
19:41:30      0.05      0.05
19:41:31      0.05      0.05
19:41:32      0.00      0.00
19:41:33      0.00      0.00
19:41:34      0.00      0.00
19:41:35      0.00      0.00
19:41:36      0.00      0.00
19:41:37      0.00      0.00
19:41:38      0.00      0.00
19:41:39      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:41:40      0.00      0.00
19:41:41      0.00      0.00
19:41:42      0.00      0.00
19:41:43      0.00      0.00
19:41:44      0.00      0.00
19:41:45      0.00      0.00
19:41:46      0.00      0.00
19:41:47      0.00      0.00
19:41:48      0.00      0.00
19:41:49      0.00      0.00
19:41:50      0.00      0.00
19:41:51      0.00      0.00
19:41:52      0.00      0.00
19:41:53      0.17      0.11
19:41:54      0.00      0.00
19:41:55      0.00      0.00
19:41:56      0.00      0.00
19:41:57      0.04      0.04
19:41:58      0.12      0.09
19:41:59      0.00      0.00
19:42:00      0.00      0.00
19:42:01      0.05      0.05
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:42:02      0.00      0.00
19:42:03      0.00      0.00
19:42:04      0.00      0.00
19:42:05      0.00      0.00
19:42:06      0.00      0.00
19:42:07      0.00      0.00
19:42:08      0.00      0.00
19:42:09      0.00      0.00
19:42:10      0.00      0.00
19:42:11      0.00      0.00
19:42:12      0.00      0.00
19:42:13      0.00      0.00
19:42:14      0.00      0.00
19:42:15      0.00      0.00
19:42:16      0.00      0.00
19:42:17      0.00      0.00
19:42:18      0.00      0.00
19:42:19      0.00      0.00
19:42:20      0.00      0.00
19:42:21      0.21      0.00
19:42:22      0.21      0.00
19:42:23      0.27      0.05
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:42:24      0.21      0.00
19:42:25      0.00      0.00
19:42:26      0.00      0.00
19:42:27      0.00      0.00
19:42:28      0.13      0.13
19:42:29      0.00      0.00
19:42:30      0.00      0.00
19:42:31      0.05      0.05
19:42:32      0.00      0.00
19:42:33      0.00      0.00
19:42:34      0.00      0.00
19:42:35      0.00      0.00
19:42:36      0.00      0.00
19:42:37      0.00      0.00
19:42:38      0.00      0.00
19:42:39      0.00      0.00
19:42:40      0.00      0.00
19:42:41      0.00      0.00
19:42:42      0.00      0.00
19:42:43      0.00      0.00
19:42:44      0.00      0.00
