procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30984432  91432 958136    0    0     0    20   77  492  0  0 100  0  0 2024-05-16 19:33:46
 0  0      0 30984432  91432 958136    0    0     0     0   63  401  0  0 100  0  0 2024-05-16 19:33:47
 0  0      0 30984684  91432 958136    0    0     0    20   72  430  0  0 100  0  0 2024-05-16 19:33:48
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30984432  91432 958136    0    0     0     0   69  440  0  0 100  0  0 2024-05-16 19:33:49
 0  0      0 30984432  91432 958136    0    0     0     0   64  404  0  0 100  0  0 2024-05-16 19:33:50
 0  0      0 30984208  91432 958140    0    0     0     0   80  558  0  0 100  0  0 2024-05-16 19:33:51
 0  0      0 30984464  91440 958132    0    0     0    48   83  501  0  0 100  0  0 2024-05-16 19:33:52
 0  0      0 30984464  91440 958136    0    0     0    36   75  478  0  0 100  0  0 2024-05-16 19:33:53
 0  0      0 30984464  91440 958136    0    0     0     0   71  474  0  0 100  0  0 2024-05-16 19:33:54
 0  0      0 30984444  91440 958136    0    0     0     0   80  489  0  0 100  0  0 2024-05-16 19:33:55
 0  0      0 30984984  91440 958136    0    0     0     0   72  471  0  0 100  0  0 2024-05-16 19:33:56
 0  0      0 30985236  91448 958136    0    0     0    36   72  468  0  0 100  0  0 2024-05-16 19:33:57
 0  0      0 30985236  91448 958136    0    0     0    28   69  512  0  0 100  0  0 2024-05-16 19:33:58
 0  0      0 30985236  91448 958136    0    0     0     0   59  413  0  0 100  0  0 2024-05-16 19:33:59
 0  0      0 30984984  91448 958136    0    0     0     0   70  439  0  0 100  0  0 2024-05-16 19:34:00
 0  0      0 30984984  91448 958136    0    0     0     0   66  449  0  0 100  0  0 2024-05-16 19:34:01
 0  0      0 30984984  91456 958136    0    0     0    20   61  399  0  0 100  0  0 2024-05-16 19:34:02
 0  0      0 30985236  91456 958136    0    0     0    12   70  459  0  0 100  0  0 2024-05-16 19:34:03
 0  0      0 30985236  91456 958136    0    0     0     0   67  444  0  0 100  0  0 2024-05-16 19:34:04
 0  0      0 30982948  91456 958136    0    0     0     0   74  468  0  0 100  0  0 2024-05-16 19:34:05
 0  0      0 30982948  91456 958136    0    0     0     0   63  444  0  0 100  0  0 2024-05-16 19:34:06
 0  0      0 30982948  91456 958136    0    0     0     0   66  443  0  0 100  0  0 2024-05-16 19:34:07
 0  0      0 30982948  91464 958136    0    0     0    20   72  431  0  0 100  0  0 2024-05-16 19:34:08
 0  0      0 30983200  91464 958136    0    0     0    12   72  432  0  0 100  0  0 2024-05-16 19:34:09
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30985012  91464 958136    0    0     0     0   63  427  0  0 100  0  0 2024-05-16 19:34:10
 0  0      0 30984760  91464 958136    0    0     0     0   83  521  0  0 100  0  0 2024-05-16 19:34:11
 0  0      0 30984760  91464 958136    0    0     0     0   66  441  0  0 100  0  0 2024-05-16 19:34:12
 0  0      0 30984760  91472 958140    0    0     0    24   75  489  0  0 100  0  0 2024-05-16 19:34:13
 0  0      0 30984760  91472 958136    0    0     0    12   68  451  0  0 100  0  0 2024-05-16 19:34:14
 0  0      0 30984760  91472 958136    0    0     0     0   69  426  0  0 100  0  0 2024-05-16 19:34:15
 0  0      0 30984548  91472 958136    0    0     0     0   66  435  0  0 100  0  0 2024-05-16 19:34:16
 0  0      0 30984548  91472 958136    0    0     0     0   61  406  0  0 100  0  0 2024-05-16 19:34:17
 0  0      0 30984548  91480 958140    0    0     0    28   72  437  0  0 100  0  0 2024-05-16 19:34:18
 0  0      0 30984548  91480 958140    0    0     0    20   65  408  0  0 100  0  0 2024-05-16 19:34:19
 0  0      0 30984548  91480 958140    0    0     0     0   63  400  0  0 100  0  0 2024-05-16 19:34:20
 0  0      0 30984296  91480 958144    0    0     0     0   70  416  0  0 100  0  0 2024-05-16 19:34:21
 0  0      0 30984548  91480 958144    0    0     0     0   63  412  0  0 100  0  0 2024-05-16 19:34:22
 0  0      0 30984548  91480 958144    0    0     0     0   62  412  0  0 100  0  0 2024-05-16 19:34:23
 0  0      0 30984548  91488 958144    0    0     0    20   67  415  0  0 100  0  0 2024-05-16 19:34:24
 0  0      0 30984548  91488 958144    0    0     0    16   69  426  0  0 100  0  0 2024-05-16 19:34:25
 0  0      0 30986708  91488 958144    0    0     0     0   63  436  0  0 100  0  0 2024-05-16 19:34:26
 0  0      0 30986456  91488 958144    0    0     0     0   65  425  0  0 100  0  0 2024-05-16 19:34:27
 0  0      0 30986456  91488 958144    0    0     0     0   62  422  0  0 100  0  0 2024-05-16 19:34:28
 0  0      0 30986708  91496 958144    0    0     0    32   69  431  0  0 100  0  0 2024-05-16 19:34:29
